;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;  Município Acidente ;Ano;Mês;Sexo;Turno Acidente;Tipo de Acidente;Meio de Locomoção da Vítima;Faixa Etária;Latitude Acidente;Longitude Acidente;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aguas de Lindoia; Aguas de Lindoia ;2017; 1 ; MASCULINO ; MANHÃ ; COLISÃO ; MOTOCICLETA ; 35-39 ; -22.478553 ; -46.635755 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aguas de Lindoia; Aguas de Lindoia ;2017; 1 ; MASCULINO ; Não Disponível ; COLISÃO ; AUTOMÓVEL ; 18-24 ; -22.4610541928063 ; -46.592167512743 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alvares Machado; Alvares Machado ;2017; 1 ; MASCULINO ; Não Disponível ; ATROPELAMENTO ; PEDESTRE ; 75-79 ; -22.072623 ; -51.499193 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Americana; Americana ;2017; 1 ; FEMININO ; TARDE ; COLISÃO ; MOTOCICLETA ; 40-44 ; -22.7585390704091 ; -47.3156216460791 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amparo; Amparo ;2017; 1 ; MASCULINO ; TARDE ; COLISÃO ; MOTOCICLETA ; 30-34 ; -22.6368014475472 ; -46.8027202129382 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amparo; Amparo ;2017; 1 ; MASCULINO ; TARDE ; NÃO DISPONÍVEL ; NÃO DISPONÍVEL ; 70-74 ; -22.721048277 ; -46.7852235349999 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Andradina; Andradina ;2017; 1 ; MASCULINO ; MADRUGADA ; COLISÃO ; MOTOCICLETA ; 18-24 ; -20.8651098769787 ; -51.4158362236357 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aracariguama; Aracariguama ;2017; 1 ; MASCULINO ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; 40-44 ; -23.4368590223836 ; -47.0969492099777 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aracatuba; Aracatuba ;2017; 1 ; FEMININO ; NOITE ; COLISÃO ; AUTOMÓVEL ; 55-59 ; -21.1995572154174 ; -50.5681113685963 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Araraquara; Araraquara ;2017; 1 ; MASCULINO ; NOITE ; CHOQUE ; MOTOCICLETA ; 30-34 ; -21.752965 ; -48.182054 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Araraquara; Araraquara ;2017; 1 ; MASCULINO ; TARDE ; CHOQUE ; MOTOCICLETA ; 18-24 ; -21.720623, -48.152574 ; -48.1525869279999 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Araraquara; Araraquara ;2017; 1 ; MASCULINO ; TARDE ; COLISÃO ; AUTOMÓVEL ; 25-29 ; -21.7746636963593 ; -48.1002101551147 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Araras; Araras ;2017; 1 ; FEMININO ; MANHÃ ; ATROPELAMENTO ; PEDESTRE ; 65-69 ; -22.359910 ; -47.375346 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Araras; Araras ;2017; 1 ; MASCULINO ; MADRUGADA ; OUTROS ; AUTOMÓVEL ; 25-29 ; -22.389900000 ; -47.393400000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Araras; Araras ;2017; 1 ; MASCULINO ; TARDE ; OUTROS ; AUTOMÓVEL ; 30-34 ; -22.360371 ; -47.400529 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Artur Nogueira; Artur Nogueira ;2017; 1 ; MASCULINO ; NOITE ; COLISÃO ; BICICLETA ; 30-34 ; -22.5481678775796 ; -47.1709047091947 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Assis; Assis ;2017; 1 ; MASCULINO ; Não Disponível ; OUTROS ; AUTOMÓVEL ; 60-64 ; -22.667334 ; -50.408913 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Assis; Assis ;2017; 1 ; MASCULINO ; NOITE ; COLISÃO ; BICICLETA ; 65-69 ; -22.674715 ; -50.426909 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Atibaia; Atibaia ;2017; 1 ; FEMININO ; MANHÃ ; ATROPELAMENTO ; PEDESTRE ; 0-17 ; -23.220667 ; -46.594557 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Atibaia; Atibaia ;2017; 1 ; MASCULINO ; MADRUGADA ; COLISÃO ; MOTOCICLETA ; Não Disponível ; -23.2336858170813 ; -46.6021002328068 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Atibaia; Atibaia ;2017; 1 ; MASCULINO ; TARDE ; ATROPELAMENTO ; PEDESTRE ; 25-29 ; -23.0363195617878 ; -46.5525240998558 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Atibaia; Atibaia ;2017; 1 ; MASCULINO ; TARDE ; OUTROS ; MOTOCICLETA ; 30-34 ; -23.0674481600303 ; -46.6438777706221 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bariri; Bariri ;2017; 1 ; FEMININO ; NOITE ; COLISÃO ; AUTOMÓVEL ; 25-29 ; -22.1310595577394 ; -48.7395509831367 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barretos; Barretos ;2017; 1 ; FEMININO ; MANHÃ ; COLISÃO ; MOTOCICLETA ; 30-34 ; -20.556186 ; -48.569661 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barueri; Barueri ;2017; 1 ; MASCULINO ; TARDE ; CHOQUE ; MOTOCICLETA ; 30-34 ; Não Disponível ; Não Disponível ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barueri; Barueri ;2017; 1 ; MASCULINO ; TARDE ; COLISÃO ; MOTOCICLETA ; 35-39 ; -23.5095012505267 ; -46.8181609414955 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bastos; Bastos ;2017; 1 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 25-29 ; -21.9113896948276 ; -50.7102729490001 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Batatais; Batatais ;2017; 1 ; MASCULINO ; TARDE ; COLISÃO ; AUTOMÓVEL ; 50-54 ; -20.837334915002 ; -47.6015241875066 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bauru; Bauru ;2017; 1 ; MASCULINO ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; Não Disponível ; -22.359650000 ; -49.038340000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bauru; Bauru ;2017; 1 ; MASCULINO ; MADRUGADA ; CHOQUE ; MOTOCICLETA ; 30-34 ; -22.312283 ; -49.069696 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bauru; Bauru ;2017; 1 ; MASCULINO ; Não Disponível ; CHOQUE ; MOTOCICLETA ; 40-44 ; -22.2866372647711 ; -49.0940972091816 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bauru; Bauru ;2017; 1 ; MASCULINO ; TARDE ; COLISÃO ; MOTOCICLETA ; 18-24 ; -22.305738 ; -49.052239 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bebedouro; Bebedouro ;2017; 1 ; MASCULINO ; NOITE ; CHOQUE ; MOTOCICLETA ; 30-34 ; -20.932579 ; -48.499755 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bertioga; Bertioga ;2017; 1 ; MASCULINO ; Não Disponível ; COLISÃO ; AUTOMÓVEL ; 18-24 ; -23.7565828742702 ; -45.8522038035251 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bertioga; Bertioga ;2017; 1 ; MASCULINO ; NOITE ; NÃO DISPONÍVEL ; NÃO DISPONÍVEL ; 30-34 ; -23.7483948537406 ; -46.0463361451337 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Birigui; Birigui ;2017; 1 ; MASCULINO ; TARDE ; ATROPELAMENTO ; PEDESTRE ; 0-17 ; Não Disponível ; Não Disponível ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Boituva; Boituva ;2017; 1 ; MASCULINO ; MANHÃ ; OUTROS ; BICICLETA ; 60-64 ; -23.284485 ; -47.674137 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bom Jesus dos Perdoes; Bom Jesus dos Perdoes ;2017; 1 ; MASCULINO ; MANHÃ ; ATROPELAMENTO ; PEDESTRE ; 60-64 ; -23.144954 ; -46.467789 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Borborema; Borborema ;2017; 1 ; MASCULINO ; TARDE ; COLISÃO ; BICICLETA ; 0-17 ; -21.6265672677512 ; -49.0842047144328 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Botucatu; Botucatu ;2017; 1 ; MASCULINO ; MADRUGADA ; COLISÃO ; MOTOCICLETA ; 35-39 ; -23.047476102 ; -48.477079807 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Braganca Paulista; Braganca Paulista ;2017; 1 ; MASCULINO ; MANHÃ ; CHOQUE ; MOTOCICLETA ; 18-24 ; -22.866153472413 ; -46.6254350469848 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Buritama; Buritama ;2017; 1 ; MASCULINO ; NOITE ; NÃO DISPONÍVEL ; BICICLETA ; 55-59 ; -21.051167317 ; -50.174362511 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cacapava; Cacapava ;2017; 1 ; MASCULINO ; MANHÃ ; CHOQUE ; NÃO DISPONÍVEL ; 45-49 ; -23.0950044371499 ; -45.6807340099832 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cacapava; Cacapava ;2017; 1 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 40-44 ; -23.1088016401549 ; -45.700870963769 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cacapava; Cacapava ;2017; 1 ; MASCULINO ; NOITE ; NÃO DISPONÍVEL ; MOTOCICLETA ; 18-24 ; -23.095292 ; -45.702276 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Caieiras; Caieiras ;2017; 1 ; FEMININO ; MANHÃ ; ATROPELAMENTO ; PEDESTRE ; 35-39 ; -23.3594424620584 ; -46.7486972476347 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Caieiras; Caieiras ;2017; 1 ; FEMININO ; NOITE ; OUTROS ; AUTOMÓVEL ; 30-34 ; -23.348933 ; -46.743502 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Caieiras; Caieiras ;2017; 1 ; FEMININO ; NOITE ; OUTROS ; AUTOMÓVEL ; 45-49 ; -23.348933 ; -46.743502 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Caiua; Caiua ;2017; 1 ; FEMININO ; NOITE ; COLISÃO ; AUTOMÓVEL ; 25-29 ; -21.846798580 ; -52.024815197 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAJURU; CAJURU ;2017; 1 ; MASCULINO ; TARDE ; OUTROS ; AUTOMÓVEL ; 65-69 ; -21.2747423475453 ; -47.2898649484936 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2017; 1 ; FEMININO ; MANHÃ ; ATROPELAMENTO ; PEDESTRE ; 65-69 ; Não Disponível ; Não Disponível ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2017; 1 ; FEMININO ; TARDE ; COLISÃO ; MOTOCICLETA ; 18-24 ; -22.938425427 ; -47.1065945569999 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2017; 1 ; MASCULINO ; MADRUGADA ; ATROPELAMENTO ; PEDESTRE ; 30-34 ; -23.04622476234 ; -47.1376104238814 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2017; 1 ; MASCULINO ; MADRUGADA ; COLISÃO ; MOTOCICLETA ; 50-54 ; -22.974890220 ; -47.048333287 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2017; 1 ; MASCULINO ; MANHÃ ; ATROPELAMENTO ; PEDESTRE ; 18-24 ; -22.844174190 ; -47.038399602 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2017; 1 ; MASCULINO ; MANHÃ ; ATROPELAMENTO ; PEDESTRE ; Não Disponível ; -22.844174190 ; -47.038399602 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2017; 1 ; MASCULINO ; Não Disponível ; ATROPELAMENTO ; PEDESTRE ; 55-59 ; -22.981249 ; -47.083034 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2017; 1 ; MASCULINO ; Não Disponível ; COLISÃO ; MOTOCICLETA ; 18-24 ; -22.934900 ; -47.189160 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2017; 1 ; MASCULINO ; Não Disponível ; COLISÃO ; MOTOCICLETA ; 18-24 ; -22.951561 ; -47.121737 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2017; 1 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 45-49 ; -22.8453703561572 ; -47.0797443031302 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2017; 1 ; MASCULINO ; NOITE ; COLISÃO ; MOTOCICLETA ; 45-49 ; -22.897018 ; -47.107788 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2017; 1 ; MASCULINO ; NOITE ; NÃO DISPONÍVEL ; MOTOCICLETA ; 18-24 ; -22.935437 ; -47.188361 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2017; 1 ; MASCULINO ; TARDE ; COLISÃO ; AUTOMÓVEL ; 60-64 ; -22.752089 ; -46.989259 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campinas; Campinas ;2017; 1 ; MASCULINO ; TARDE ; COLISÃO ; MOTOCICLETA ; 35-39 ; -22.926507 ; -47.126129 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campos do Jordao; Campos do Jordao ;2017; 1 ; MASCULINO ; TARDE ; COLISÃO ; MOTOCICLETA ; 18-24 ; -22.717797 ; -45.570047 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Capao Bonito; Capao Bonito ;2017; 1 ; MASCULINO ; TARDE ; COLISÃO ; AUTOMÓVEL ; 45-49 ; -24.1100887353481 ; -48.4504564817058 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Caraguatatuba; Caraguatatuba ;2017; 1 ; MASCULINO ; MANHÃ ; ATROPELAMENTO ; PEDESTRE ; 18-24 ; -23.614651169857 ; -45.3845780187405 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Caraguatatuba; Caraguatatuba ;2017; 1 ; MASCULINO ; TARDE ; ATROPELAMENTO ; PEDESTRE ; 18-24 ; -23.703208 ; -45.447767 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Catanduva; Catanduva ;2017; 1 ; MASCULINO ; MANHÃ ; COLISÃO ; MOTOCICLETA ; 40-44 ; -21.2078366824085 ; -48.9992205587295 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Catanduva; Catanduva ;2017; 1 ; MASCULINO ; MANHÃ ; COLISÃO ; MOTOCICLETA ; 40-44 ; -21.2078366824085 ; -48.9992205587295 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Catanduva; Catanduva ;2017; 1 ; MASCULINO ; NOITE ; CHOQUE ; NÃO DISPONÍVEL ; 50-54 ; -21.139494 ; -48.983360 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Catigua; Catigua ;2017; 1 ; FEMININO ; TARDE ; OUTROS ; NÃO DISPONÍVEL ; 50-54 ; -21.0837699392648 ; -49.0850945001913 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cerqueira Cesar; Cerqueira Cesar ;2017; 1 ; MASCULINO ; Não Disponível ; COLISÃO ; BICICLETA ; 40-44 ; -22.9874977453551 ; -49.2064300721721 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cerquilho; Cerquilho ;2017; 1 ; MASCULINO ; TARDE ; NÃO DISPONÍVEL ; MOTOCICLETA ; 30-34 ; -23.169241 ; -47.743398 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cosmopolis; Cosmopolis ;2017; 1 ; MASCULINO ; NOITE ; CHOQUE ; MOTOCICLETA ; 18-24 ; -22.638883 ; -47.188274 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cosmopolis; Cosmopolis ;2017; 1 ; MASCULINO ; TARDE ; ATROPELAMENTO ; PEDESTRE ; 75-79 ; -22.6485939238832 ; -47.2056751065585 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cosmopolis; Cosmopolis ;2017; 1 ; MASCULINO ; TARDE ; COLISÃO ; MOTOCICLETA ; 30-34 ; -22.640201 ; -47.181120 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cotia; Cotia ;2017; 1 ; FEMININO ; NOITE ; OUTROS ; AUTOMÓVEL ; 18-24 ; -23.5991015399999 ; -46.918556555 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cotia; Cotia ;2017; 1 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 75-79 ; -23.6001210042822 ; -46.9016568512092 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cotia; Cotia ;2017; 1 ; MASCULINO ; TARDE ; ATROPELAMENTO ; PEDESTRE ; 50-54 ; -23.603270745 ; -46.917905967 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cotia; Cotia ;2017; 1 ; MASCULINO ; TARDE ; NÃO DISPONÍVEL ; MOTOCICLETA ; 18-24 ; -23.580701 ; -46.917552 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cravinhos; Cravinhos ;2017; 1 ; MASCULINO ; Não Disponível ; CHOQUE ; AUTOMÓVEL ; 40-44 ; -21.3156273582691 ; -47.7352502947021 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cruzeiro; Cruzeiro ;2017; 1 ; MASCULINO ; TARDE ; COLISÃO ; MOTOCICLETA ; 45-49 ; -22.5488850932407 ; -45.0209203918767 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cunha; Cunha ;2017; 1 ; FEMININO ; TARDE ; NÃO DISPONÍVEL ; NÃO DISPONÍVEL ; 40-44 ; -23.129332375742 ; -44.9371990473268 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diadema; Diadema ;2017; 1 ; FEMININO ; NOITE ; CHOQUE ; MOTOCICLETA ; 25-29 ; -23.6947172546499 ; -46.602986943335 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diadema; Diadema ;2017; 1 ; MASCULINO ; MANHÃ ; NÃO DISPONÍVEL ; BICICLETA ; 55-59 ; -23.709003 ; -46.596904 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diadema; Diadema ;2017; 1 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 45-49 ; -23.678912 ; -46.583253 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diadema; Diadema ;2017; 1 ; MASCULINO ; NOITE ; CHOQUE ; MOTOCICLETA ; 25-29 ; -23.6947172546499 ; -46.602986943335 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dumont; Dumont ;2017; 1 ; MASCULINO ; MANHÃ ; OUTROS ; AUTOMÓVEL ; 18-24 ; -21.2341726391741 ; -47.9538233370655 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Embauba; Embauba ;2017; 1 ; MASCULINO ; Não Disponível ; OUTROS ; CAMINHÃO ; 18-24 ; -20.992939 ; -48.853606 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Embu das Artes; Embu das Artes ;2017; 1 ; MASCULINO ; NOITE ; ATROPELAMENTO ; PEDESTRE ; 45-49 ; -23.6829825045498 ; -46.8584328215038 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Embu-Guacu; Embu-Guacu ;2017; 1 ; MASCULINO ; NOITE ; NÃO DISPONÍVEL ; AUTOMÓVEL ; 40-44 ; -23.7704239420207 ; -46.7932172943141 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Embu-Guacu; Embu-Guacu ;2017; 1 ; MASCULINO ; NOITE ; OUTROS ; BICICLETA ; 45-49 ; -23.876870 ; -46.793730 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Embu-Guacu; Embu-Guacu ;2017; 1 ; MASCULINO ; TARDE ; COLISÃO ; MOTOCICLETA ; 18-24 ; -23.8306356886006 ; -46.8522488610105 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euclides da Cunha Paulista; Euclides da Cunha Paulista ;2017; 1 ; MASCULINO ; MANHÃ ; COLISÃO ; MOTOCICLETA ; 30-34 ; Não Disponível ; Não Disponível ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
