Município Acidente;Ano;Mês;Sexo;Turno Acidente;Tipo de Acidente;Meio de Locomoção da Vítima;Faixa Etária;Latitude Acidente;Longitude Acidente
AGUDOS;2017;3;FEMININO;NOITE;OUTROS;MOTOCICLETA;18-24;-22.415350483;-49.005161188
ALTINOPOLIS;2017;3;MASCULINO;NOITE;OUTROS;MOTOCICLETA;35-39;-21.13371519;-47.565821236
AMERICANA;2017;3;FEMININO;TARDE;ATROPELAMENTO;PEDESTRE;80 ou mais;-22.70446;-47.293229
AMERICANA;2017;3;MASCULINO;MANHA;COLISAO;CAMINHAO;45-49;-22.7585390704;-47.3156216461
AMERICANA;2017;3;MASCULINO;TARDE;COLISAO;MOTOCICLETA;50-54;-22.774802;-47.345654
AMPARO;2017;3;MASCULINO;NOITE;COLISAO;MOTOCICLETA;40-44;-22.691851254;-46.725560845
AMPARO;2017;3;MASCULINO;TARDE;OUTROS;MOTOCICLETA;30-34;-22.7113744914;-46.8253508011
ANALANDIA;2017;3;MASCULINO;MANHA;CHOQUE;MOTOCICLETA;35-39;-22.1348196167;-47.6568414688
ANDRADINA;2017;3;MASCULINO;MADRUGADA;COLISAO;BICICLETA;18-24;-20.8755122554;-51.3882495995
ANDRADINA;2017;3;MASCULINO;NOITE;COLISAO;MOTOCICLETA;18-24;-20.8789489146;-51.3790399858
ARACATUBA;2017;3;MASCULINO;MADRUGADA;COLISAO;MOTOCICLETA;18-24;-21.175026;-50.443756
ARACATUBA;2017;3;MASCULINO;NOITE;COLISAO;BICICLETA;35-39;-21.214766;-50.423798
ARACOIABA DA SERRA;2017;3;FEMININO;MADRUGADA;OUTROS;MOTOCICLETA;0-17;-23.5386957187;-47.7119819165
ARACOIABA DA SERRA;2017;3;MASCULINO;TARDE;NAO DISPONIVEL;CAMINHAO;55-59;-23.5309077066;-47.6293710334
ARAMINA;2017;3;MASCULINO;NOITE;COLISAO;AUTOMOVEL;50-54;-20.067599306;-47.788551787
ARARAQUARA;2017;3;MASCULINO;MADRUGADA;COLISAO;CAMINHAO;50-54;-21.8819267183;-48.0875003978
ARARAQUARA;2017;3;MASCULINO;NAO DISPONIVEL;NAO DISPONIVEL;NAO DISPONIVEL;30-34;NAO DISPONIVEL;NAO DISPONIVEL 
ARARAS;2017;3;FEMININO;MANHA;OUTROS;BICICLETA;60-64;NAO DISPONIVEL;NAO DISPONIVEL 
ARARAS;2017;3;MASCULINO;MADRUGADA;OUTROS;MOTOCICLETA;40-44;-22.359204;-47.393281
ARARAS;2017;3;MASCULINO;TARDE;CHOQUE;MOTOCICLETA;18-24;-22.355755;-47.324731
ARUJA;2017;3;MASCULINO;MADRUGADA;ATROPELAMENTO;AUTOMOVEL;65-69;-23.4076923275;-46.3379311281
ARUJA;2017;3;MASCULINO;NOITE;ATROPELAMENTO;PEDESTRE;50-54;-23.3936950787;-46.2868751324
ARUJA;2017;3;MASCULINO;NOITE;COLISAO;MOTOCICLETA;35-39;-23.4265610311;-46.2802803936
ATIBAIA;2017;3;MASCULINO;TARDE;COLISAO;MOTOCICLETA;25-29;-23.14053;-46.581145
AVANHANDAVA;2017;3;MASCULINO;MADRUGADA;NAO DISPONIVEL;MOTOCICLETA;18-24;NAO DISPONIVEL;NAO DISPONIVEL 
AVARE;2017;3;FEMININO;NOITE;COLISAO;MOTOCICLETA;30-34;-23.115723008;-48.940260318
BARRA BONITA;2017;3;MASCULINO;MANHA;COLISAO;AUTOMOVEL;40-44;-22.450357;-48.521734
BARRA DO TURVO;2017;3;MASCULINO;NAO DISPONIVEL;OUTROS;OUTROS;30-34;-24.9608284755;-48.4156349996
BARUERI;2017;3;FEMININO;TARDE;ATROPELAMENTO;PEDESTRE;60-64;-23.502488;-46.878533
BARUERI;2017;3;MASCULINO;MANHA;ATROPELAMENTO;PEDESTRE;50-54;-23.5039939349;-46.8778957169
BARUERI;2017;3;MASCULINO;MANHA;CHOQUE;AUTOMOVEL;70-74;-23.490785;-46.95453
BARUERI;2017;3;MASCULINO;NOITE;ATROPELAMENTO;PEDESTRE;NAO DISPONIVEL;-23.510317;-46.835604
BAURU;2017;3;MASCULINO;TARDE;COLISAO;MOTOCICLETA;25-29;-22.2970368036;-49.1093436358
BERTIOGA;2017;3;FEMININO;MANHA;OUTROS;AUTOMOVEL;40-44;-23.79439;-46.050918
BERTIOGA;2017;3;MASCULINO;MANHA;OUTROS;CAMINHAO;40-44;-23.7776885368;-45.9682963839
BERTIOGA;2017;3;MASCULINO;NAO DISPONIVEL;NAO DISPONIVEL;NAO DISPONIVEL;18-24;NAO DISPONIVEL;NAO DISPONIVEL 
BERTIOGA;2017;3;MASCULINO;TARDE;COLISAO;MOTOCICLETA;55-59;-23.7827880283;-46.0577294631
Bertioga;2017;3;MASCULINO;TARDE;NAO DISPONIVEL;NAO DISPONIVEL;18-24;NAO DISPONIVEL;NAO DISPONIVEL 
BIRITIBA MIRIM;2017;3;MASCULINO;MADRUGADA;COLISAO;BICICLETA;18-24;-23.576771;-46.038501
BOM JESUS DOS PERDOES;2017;3;MASCULINO;NOITE;COLISAO;AUTOMOVEL;35-39;-23.1252081831;-46.4692255511
BOM JESUS DOS PERDOES;2017;3;MASCULINO;NOITE;COLISAO;AUTOMOVEL;40-44;-23.1252081831;-46.4692255511
BRAGANCA PAULISTA;2017;3;MASCULINO;NOITE;ATROPELAMENTO;PEDESTRE;30-34;-22.9347271654;-46.5564403706
BURITIZAL;2017;3;MASCULINO;MANHA;COLISAO;MOTOCICLETA;25-29;-20.205248;-47.741209
CABREUVA;2017;3;MASCULINO;NOITE;ATROPELAMENTO;PEDESTRE;45-49;-23.284374143;-47.128296725
CACHOEIRA PAULISTA;2017;3;MASCULINO;NOITE;ATROPELAMENTO;PEDESTRE;30-34;-22.671473;-45.024336
CAIEIRAS;2017;3;MASCULINO;NOITE;ATROPELAMENTO;PEDESTRE;50-54;-23.3669817925;-46.7520660225
CAJAMAR;2017;3;MASCULINO;MADRUGADA;COLISAO;CAMINHAO;40-44;-23.3372982204;-46.8239281328
CAJAMAR;2017;3;MASCULINO;MANHA;CHOQUE;AUTOMOVEL;45-49;-23.288188967;-46.847215891
CAJAMAR;2017;3;MASCULINO;NOITE;COLISAO;MOTOCICLETA;18-24;-23.344925356;-46.840928793
CAJATI;2017;3;MASCULINO;MADRUGADA;CHOQUE;CAMINHAO;55-59;-24.8405391573;-48.2132162069
CAJATI;2017;3;MASCULINO;MADRUGADA;CHOQUE;PEDESTRE;35-39;-24.8937617489;-48.2360149506
CAJATI;2017;3;MASCULINO;MADRUGADA;NAO DISPONIVEL;NAO DISPONIVEL;45-49;-24.8891566137;-48.228731257
CAMPINAS;2017;3;FEMININO;MADRUGADA;ATROPELAMENTO;PEDESTRE;55-59;-22.870513;-47.14127
CAMPINAS;2017;3;FEMININO;TARDE;COLISAO;NAO DISPONIVEL;65-69;-23.031053;-47.114355
CAMPINAS;2017;3;MASCULINO;MADRUGADA;ATROPELAMENTO;PEDESTRE;40-44;NAO DISPONIVEL;NAO DISPONIVEL 
CAMPINAS;2017;3;MASCULINO;MANHA;ATROPELAMENTO;PEDESTRE;50-54;-22.915047536;-47.0662084025
CAMPINAS;2017;3;MASCULINO;NAO DISPONIVEL;ATROPELAMENTO;PEDESTRE;18-24;-22.925179;-47.126993
CAMPINAS;2017;3;MASCULINO;NOITE;NAO DISPONIVEL;NAO DISPONIVEL;50-54;NAO DISPONIVEL;NAO DISPONIVEL 
CAMPINAS;2017;3;MASCULINO;TARDE;ATROPELAMENTO;PEDESTRE;40-44;-22.947271;-47.186595
CAMPINAS;2017;3;MASCULINO;TARDE;CHOQUE;MOTOCICLETA;25-29;-23.0308914881;-47.1142509304
CAMPO LIMPO PAULISTA;2017;3;MASCULINO;MADRUGADA;COLISAO;AUTOMOVEL;18-24;-23.225822111;-46.773667178
CAMPOS NOVOS PAULISTA;2017;3;MASCULINO;TARDE;CHOQUE;AUTOMOVEL;25-29;-22.70008;-50.034169
CAMPOS NOVOS PAULISTA;2017;3;MASCULINO;TARDE;OUTROS;CAMINHAO;30-34;-22.646041;-49.970405
CANANEIA;2017;3;MASCULINO;MADRUGADA;OUTROS;AUTOMOVEL;35-39;-24.961036;-47.911167
CANAS;2017;3;MASCULINO;MADRUGADA;OUTROS;MOTOCICLETA;25-29;-22.7123571653;-45.0517935424
CANDIDO MOTA;2017;3;FEMININO;NOITE;COLISAO;AUTOMOVEL;45-49;-22.7140759702;-50.3028250689
CANDIDO MOTA;2017;3;FEMININO;NOITE;COLISAO;AUTOMOVEL;65-69;-22.7140759702;-50.3028250689
CANDIDO MOTA;2017;3;MASCULINO;NOITE;COLISAO;AUTOMOVEL;50-54;-22.7140759702;-50.3028250689
CANDIDO MOTA;2017;3;MASCULINO;NOITE;COLISAO;AUTOMOVEL;65-69;-22.7140759702;-50.3028250689
CAPAO BONITO;2017;3;FEMININO;NOITE;COLISAO;AUTOMOVEL;45-49;-23.964192853;-48.39573503
CAPAO BONITO;2017;3;FEMININO;NOITE;COLISAO;AUTOMOVEL;70-74;-23.964192853;-48.39573503
CAPAO BONITO;2017;3;FEMININO;TARDE;NAO DISPONIVEL;AUTOMOVEL;25-29;-24.0340654967;-48.3487338527
CARAGUATATUBA;2017;3;MASCULINO;TARDE;COLISAO;BICICLETA;55-59;-23.711314;-45.442333
CARAPICUIBA;2017;3;FEMININO;MADRUGADA;ATROPELAMENTO;PEDESTRE;65-69;-23.552171;-46.825223
CARAPICUIBA;2017;3;FEMININO;TARDE;COLISAO;MOTOCICLETA;50-54;-23.524116;-46.83028
CARAPICUIBA;2017;3;MASCULINO;MADRUGADA;COLISAO;MOTOCICLETA;35-39;-23.557615;-46.843041
CARAPICUIBA;2017;3;MASCULINO;MANHA;COLISAO;MOTOCICLETA;40-44;-23.520088;-46.856209
CATANDUVA;2017;3;FEMININO;MANHA;COLISAO;AUTOMOVEL;50-54;-21.17051;-48.9731
CATANDUVA;2017;3;MASCULINO;NAO DISPONIVEL;OUTROS;AUTOMOVEL;40-44;-21.164605;-48.98852
CATANDUVA;2017;3;MASCULINO;NOITE;ATROPELAMENTO;PEDESTRE;45-49;-21.140335;-48.953988
CEDRAL;2017;3;MASCULINO;MADRUGADA;ATROPELAMENTO;MOTOCICLETA;50-54;-20.917718;-49.293726
CEDRAL;2017;3;MASCULINO;NAO DISPONIVEL;OUTROS;AUTOMOVEL;0-17;-20.913307;-49.265201
CESARIO LANGE;2017;3;FEMININO;NOITE;COLISAO;MOTOCICLETA;0-17;-23.2060857088;-47.946329498
COLINA;2017;3;MASCULINO;NOITE;COLISAO;BICICLETA;45-49;-20.724074;-48.528934
CONCHAS;2017;3;MASCULINO;MANHA;CHOQUE;MOTOCICLETA;18-24;-23.022932;-48.01154
CONCHAS;2017;3;MASCULINO;NOITE;ATROPELAMENTO;PEDESTRE;75-79;-23.016972;-48.002521
COSMORAMA;2017;3;MASCULINO;NOITE;COLISAO;AUTOMOVEL;50-54;-20.4938580789;-49.7889106939
COTIA;2017;3;FEMININO;MADRUGADA;CHOQUE;AUTOMOVEL;55-59;-23.606114;-46.864747
COTIA;2017;3;MASCULINO;MADRUGADA;ATROPELAMENTO;PEDESTRE;70-74;NAO DISPONIVEL;NAO DISPONIVEL 
COTIA;2017;3;MASCULINO;NOITE;COLISAO;MOTOCICLETA;35-39;-23.6072317029;-46.9495537476
COTIA;2017;3;MASCULINO;NOITE;NAO DISPONIVEL;MOTOCICLETA;25-29;-23.600766;-46.859746
CRAVINHOS;2017;3;FEMININO;NOITE;ATROPELAMENTO;PEDESTRE;18-24;-21.3689833174;-47.7143609074
CUBATAO;2017;3;FEMININO;TARDE;COLISAO;AUTOMOVEL;80 ou mais;-23.9006802521;-46.4540881768
DIADEMA;2017;3;MASCULINO;NOITE;ATROPELAMENTO;PEDESTRE;40-44;-23.6737178249;-46.6292903677
DIADEMA;2017;3;MASCULINO;TARDE;ATROPELAMENTO;PEDESTRE;18-24;-23.706374;-46.599596
DIADEMA;2017;3;MASCULINO;TARDE;COLISAO;MOTOCICLETA;35-39;-23.7190105868;-46.6280489841
DIADEMA;2017;3;MASCULINO;TARDE;COLISAO;MOTOCICLETA;40-44;-23.6815884062;-46.6102336432
EMBU DAS ARTES;2017;3;MASCULINO;NOITE;CHOQUE;AUTOMOVEL;30-34;NAO DISPONIVEL;NAO DISPONIVEL 
EMBU DAS ARTES;2017;3;NAO DISPONIVEL;MADRUGADA;COLISAO;AUTOMOVEL;NAO DISPONIVEL;-23.6829825045;-46.8584328215
ESPIRITO SANTO DO PINHAL;2017;3;FEMININO;TARDE;ATROPELAMENTO;PEDESTRE;45-49;-22.1889006581;-46.7668925626
ESTRELA DO NORTE;2017;3;MASCULINO;MADRUGADA;OUTROS;AUTOMOVEL;18-24;-22.486656;-51.669552
FARTURA;2017;3;FEMININO;NOITE;CHOQUE;MOTOCICLETA;50-54;-23.3168267989;-49.4703470677
FERNANDOPOLIS;2017;3;MASCULINO;MADRUGADA;ATROPELAMENTO;PEDESTRE;65-69;-20.265054;-50.246393
Ferraz de Vasconcelos;2017;3;MASCULINO;MANHA;ATROPELAMENTO;PEDESTRE;50-54;NAO DISPONIVEL;NAO DISPONIVEL 
FERRAZ DE VASCONCELOS;2017;3;NAO DISPONIVEL;TARDE;OUTROS;MOTOCICLETA;25-29;-23.556762;-46.376559
FLOREAL;2017;3;FEMININO;TARDE;CHOQUE;AUTOMOVEL;0-17;-20.6776613316;-50.1533021367
FRANCA;2017;3;MASCULINO;MADRUGADA;COLISAO;AUTOMOVEL;30-34;-20.4961626719;-47.40684096
FRANCA;2017;3;MASCULINO;MADRUGADA;COLISAO;BICICLETA;60-64;-20.543754;-47.374861
FRANCA;2017;3;MASCULINO;NOITE;COLISAO;BICICLETA;70-74;-20.483328;-47.402523
FRANCO DA ROCHA;2017;3;MASCULINO;MANHA;OUTROS;MOTOCICLETA;18-24;-23.3331645606;-46.7195586174
FRANCO DA ROCHA;2017;3;MASCULINO;TARDE;COLISAO;MOTOCICLETA;35-39;-23.3136320656;-46.7569955772
GUAPIACU;2017;3;MASCULINO;MADRUGADA;OUTROS;MOTOCICLETA;45-49;-20.84152;-49.214094
GUAPIARA;2017;3;MASCULINO;NAO DISPONIVEL;NAO DISPONIVEL;MOTOCICLETA;0-17;NAO DISPONIVEL;NAO DISPONIVEL 
GUARAREMA;2017;3;MASCULINO;MADRUGADA;NAO DISPONIVEL;AUTOMOVEL;18-24;-23.419026;-46.003052
GUARATINGUETA;2017;3;MASCULINO;MADRUGADA;NAO DISPONIVEL;NAO DISPONIVEL;45-49;NAO DISPONIVEL;NAO DISPONIVEL 
GUARATINGUETA;2017;3;MASCULINO;MANHA;ATROPELAMENTO;PEDESTRE;18-24;-22.7740847628;-45.1375561628
GUARUJA;2017;3;MASCULINO;MANHA;ATROPELAMENTO;MOTOCICLETA;18-24;-23.977829;-46.272337
GUARUJA;2017;3;MASCULINO;NOITE;COLISAO;BICICLETA;18-24;-23.975199926;-46.274567551
GUARUJA;2017;3;MASCULINO;TARDE;COLISAO;MOTOCICLETA;45-49;-23.941155;-46.291198
GUARUJA;2017;3;MASCULINO;TARDE;OUTROS;MOTOCICLETA;35-39;NAO DISPONIVEL;NAO DISPONIVEL 
GUARULHOS;2017;3;FEMININO;NOITE;ATROPELAMENTO;PEDESTRE;75-79;-23.460038822;-46.5224954407
GUARULHOS;2017;3;FEMININO;TARDE;ATROPELAMENTO;PEDESTRE;55-59;-23.469763;-46.52243
GUARULHOS;2017;3;MASCULINO;MANHA;ATROPELAMENTO;PEDESTRE;50-54;-23.446412;-46.534194
GUARULHOS;2017;3;MASCULINO;MANHA;COLISAO;AUTOMOVEL;75-79;-23.451476;-46.508555
GUARULHOS;2017;3;MASCULINO;NAO DISPONIVEL;CHOQUE;MOTOCICLETA;18-24;-23.475965;-46.438435
GUARULHOS;2017;3;MASCULINO;NOITE;ATROPELAMENTO;PEDESTRE;30-34;-23.457861;-46.530469
GUARULHOS;2017;3;MASCULINO;NOITE;COLISAO;MOTOCICLETA;30-34;-23.4878005008;-46.5440180278
HORTOLANDIA;2017;3;MASCULINO;NOITE;ATROPELAMENTO;PEDESTRE;50-54;-22.892328769;-47.1741468459
IBIUNA;2017;3;MASCULINO;MADRUGADA;ATROPELAMENTO;PEDESTRE;35-39;-23.6590953986;-47.2240336394
IBIUNA;2017;3;MASCULINO;NOITE;COLISAO;AUTOMOVEL;40-44;-23.6919;-47.2216
IGARATA;2017;3;MASCULINO;NOITE;ATROPELAMENTO;PEDESTRE;50-54;-23.2071386475;-46.1589847005
IGUAPE;2017;3;MASCULINO;NOITE;NAO DISPONIVEL;NAO DISPONIVEL;55-59;NAO DISPONIVEL;NAO DISPONIVEL 
IGUAPE;2017;3;MASCULINO;NOITE;OUTROS;MOTOCICLETA;35-39;-24.708081;-47.576319
INDAIATUBA;2017;3;MASCULINO;NOITE;ATROPELAMENTO;PEDESTRE;35-39;-23.1048724692;-47.2013963481
INDAIATUBA;2017;3;MASCULINO;NOITE;COLISAO;MOTOCICLETA;35-39;-23.098498;-47.275151
INDAIATUBA;2017;3;MASCULINO;TARDE;COLISAO;BICICLETA;65-69;NAO DISPONIVEL;NAO DISPONIVEL 
INDAIATUBA;2017;3;MASCULINO;TARDE;COLISAO;MOTOCICLETA;40-44;-23.113702;-47.218629
INDIANA;2017;3;MASCULINO;NOITE;COLISAO;MOTOCICLETA;18-24;-22.176776;-51.256355
ITABERA;2017;3;MASCULINO;TARDE;COLISAO;MOTOCICLETA;NAO DISPONIVEL;-24.0146772607;-49.1352693077
ITAJOBI;2017;3;MASCULINO;MADRUGADA;ATROPELAMENTO;AUTOMOVEL;60-64;-21.2908070358;-49.0378139934
ITAPECERICA DA SERRA;2017;3;MASCULINO;NOITE;ATROPELAMENTO;PEDESTRE;0-17;-23.7445959551;-46.8997626346
ITAPECERICA DA SERRA;2017;3;MASCULINO;NOITE;ATROPELAMENTO;PEDESTRE;NAO DISPONIVEL;-23.6923605028;-46.8633276596
ITAPECERICA DA SERRA;2017;3;MASCULINO;TARDE;COLISAO;AUTOMOVEL;40-44;-23.7285883937;-46.8458670043
ITAPETININGA;2017;3;MASCULINO;MADRUGADA;ATROPELAMENTO;PEDESTRE;45-49;-23.6138866869;-48.0865248858
ITAPETININGA;2017;3;MASCULINO;NOITE;CHOQUE;MOTOCICLETA;18-24;-23.577412;-48.013234
ITAPETININGA;2017;3;MASCULINO;NOITE;COLISAO;MOTOCICLETA;45-49;-23.618991667;-48.082063889
ITAPEVA;2017;3;MASCULINO;MANHA;COLISAO;MOTOCICLETA;0-17;-23.96502086;-48.9333901923
ITAPEVA;2017;3;MASCULINO;MANHA;COLISAO;MOTOCICLETA;0-17;-23.96502086;-48.9333901923
ITAPEVA;2017;3;MASCULINO;TARDE;COLISAO;CAMINHAO;55-59;-23.9987277859;-48.9417884528
ITAPEVI;2017;3;FEMININO;MANHA;ATROPELAMENTO;PEDESTRE;65-69;-23.550578;-46.938013
ITAPIRA;2017;3;MASCULINO;NAO DISPONIVEL;COLISAO;MOTOCICLETA;50-54;-22.4529;-46.8078
ITAPIRA;2017;3;MASCULINO;TARDE;COLISAO;MOTOCICLETA;18-24;-22.3945;-46.7468
ITAPIRA;2017;3;MASCULINO;TARDE;OUTROS;CAMINHAO;60-64;-22.404317;-46.82941
ITAPIRAPUA PAULISTA;2017;3;MASCULINO;MANHA;COLISAO;AUTOMOVEL;70-74;-24.483994;-49.220317
ITAPOLIS;2017;3;MASCULINO;MANHA;COLISAO;AUTOMOVEL;18-24;-21.5130283584;-48.6702599711
ITAPUI;2017;3;MASCULINO;NOITE;COLISAO;MOTOCICLETA;45-49;-22.297947;-48.692094
ITAQUAQUECETUBA;2017;3;FEMININO;MADRUGADA;OUTROS;MOTOCICLETA;18-24;-23.497909032;-46.3550180408
